Broker          Stock           Value           Changes   Date and Time
Broker 2        Technology      196             12        9/2/2022 1:18:47 PM
Broker 3        Technology      196             12        9/2/2022 1:18:47 PM
Broker 4        Technology      196             12        9/2/2022 1:18:47 PM
Broker 1        Retail          42              12        9/2/2022 1:18:47 PM
Broker 4        Retail          42              12        9/2/2022 1:18:47 PM
Broker 2        Banking         115             12        9/2/2022 1:18:47 PM
Broker 3        Banking         115             12        9/2/2022 1:18:47 PM
Broker 4        Banking         115             12        9/2/2022 1:18:47 PM
Broker 2        Commodity       647             12        9/2/2022 1:18:47 PM
Broker 4        Commodity       647             12        9/2/2022 1:18:47 PM
Broker 1        Technology      197             13        9/2/2022 1:18:47 PM
Broker 2        Technology      197             13        9/2/2022 1:18:47 PM
Broker 3        Technology      197             13        9/2/2022 1:18:47 PM
Broker 4        Technology      197             13        9/2/2022 1:18:47 PM
Broker 1        Retail          43              13        9/2/2022 1:18:47 PM
Broker 4        Retail          43              13        9/2/2022 1:18:47 PM
Broker 2        Banking         116             13        9/2/2022 1:18:47 PM
Broker 3        Banking         116             13        9/2/2022 1:18:47 PM
Broker 4        Banking         116             13        9/2/2022 1:18:47 PM
Broker 2        Commodity       661             13        9/2/2022 1:18:47 PM
Broker 4        Commodity       661             13        9/2/2022 1:18:47 PM
Broker 1        Technology      201             14        9/2/2022 1:18:48 PM
Broker 2        Technology      201             14        9/2/2022 1:18:48 PM
Broker 3        Technology      201             14        9/2/2022 1:18:48 PM
Broker 4        Technology      201             14        9/2/2022 1:18:48 PM
Broker 1        Retail          44              14        9/2/2022 1:18:48 PM
Broker 4        Retail          44              14        9/2/2022 1:18:48 PM
Broker 2        Banking         119             14        9/2/2022 1:18:48 PM
Broker 3        Banking         119             14        9/2/2022 1:18:48 PM
Broker 4        Banking         119             14        9/2/2022 1:18:48 PM
Broker 2        Commodity       678             14        9/2/2022 1:18:48 PM
Broker 4        Commodity       678             14        9/2/2022 1:18:48 PM
Broker 1        Technology      204             15        9/2/2022 1:18:48 PM
Broker 2        Technology      204             15        9/2/2022 1:18:48 PM
Broker 3        Technology      204             15        9/2/2022 1:18:48 PM
Broker 4        Technology      204             15        9/2/2022 1:18:48 PM
Broker 1        Retail          45              15        9/2/2022 1:18:48 PM
Broker 4        Retail          45              15        9/2/2022 1:18:48 PM
Broker 2        Banking         120             15        9/2/2022 1:18:48 PM
Broker 3        Banking         120             15        9/2/2022 1:18:48 PM
Broker 4        Banking         120             15        9/2/2022 1:18:48 PM
Broker 2        Commodity       680             15        9/2/2022 1:18:48 PM
Broker 4        Commodity       680             15        9/2/2022 1:18:48 PM
Broker 1        Technology      208             16        9/2/2022 1:18:49 PM
Broker 2        Technology      208             16        9/2/2022 1:18:49 PM
Broker 3        Technology      208             16        9/2/2022 1:18:49 PM
Broker 4        Technology      208             16        9/2/2022 1:18:49 PM
Broker 1        Retail          46              16        9/2/2022 1:18:49 PM
Broker 4        Retail          46              16        9/2/2022 1:18:49 PM
Broker 2        Banking         123             16        9/2/2022 1:18:49 PM
Broker 3        Banking         123             16        9/2/2022 1:18:49 PM
Broker 4        Banking         123             16        9/2/2022 1:18:49 PM
Broker 2        Commodity       688             16        9/2/2022 1:18:49 PM
Broker 4        Commodity       688             16        9/2/2022 1:18:49 PM
Broker 1        Technology      212             17        9/2/2022 1:18:49 PM
Broker 2        Technology      212             17        9/2/2022 1:18:49 PM
Broker 3        Technology      212             17        9/2/2022 1:18:49 PM
Broker 4        Technology      212             17        9/2/2022 1:18:49 PM
Broker 1        Retail          47              17        9/2/2022 1:18:49 PM
Broker 4        Retail          47              17        9/2/2022 1:18:49 PM
Broker 2        Banking         126             17        9/2/2022 1:18:50 PM
Broker 3        Banking         126             17        9/2/2022 1:18:50 PM
Broker 4        Banking         126             17        9/2/2022 1:18:50 PM
Broker 2        Commodity       694             17        9/2/2022 1:18:50 PM
Broker 4        Commodity       694             17        9/2/2022 1:18:50 PM
Broker 1        Technology      215             18        9/2/2022 1:18:50 PM
Broker 2        Technology      215             18        9/2/2022 1:18:50 PM
Broker 3        Technology      215             18        9/2/2022 1:18:50 PM
Broker 4        Technology      215             18        9/2/2022 1:18:50 PM
Broker 1        Retail          48              18        9/2/2022 1:18:50 PM
Broker 4        Retail          48              18        9/2/2022 1:18:50 PM
Broker 2        Banking         127             18        9/2/2022 1:18:50 PM
Broker 3        Banking         127             18        9/2/2022 1:18:50 PM
Broker 4        Banking         127             18        9/2/2022 1:18:50 PM
Broker 2        Commodity       702             18        9/2/2022 1:18:50 PM
Broker 4        Commodity       702             18        9/2/2022 1:18:50 PM
Broker 1        Technology      218             19        9/2/2022 1:18:50 PM
Broker 2        Technology      218             19        9/2/2022 1:18:51 PM
Broker 3        Technology      218             19        9/2/2022 1:18:51 PM
Broker 4        Technology      218             19        9/2/2022 1:18:51 PM
Broker 1        Retail          49              19        9/2/2022 1:18:51 PM
Broker 4        Retail          49              19        9/2/2022 1:18:51 PM
Broker 2        Banking         128             19        9/2/2022 1:18:51 PM
Broker 3        Banking         128             19        9/2/2022 1:18:51 PM
Broker 4        Banking         128             19        9/2/2022 1:18:51 PM
Broker 2        Commodity       705             19        9/2/2022 1:18:51 PM
Broker 4        Commodity       705             19        9/2/2022 1:18:51 PM
Broker 1        Technology      220             20        9/2/2022 1:18:51 PM
Broker 2        Technology      220             20        9/2/2022 1:18:51 PM
Broker 3        Technology      220             20        9/2/2022 1:18:51 PM
Broker 4        Technology      220             20        9/2/2022 1:18:51 PM
Broker 1        Retail          50              20        9/2/2022 1:18:51 PM
Broker 4        Retail          50              20        9/2/2022 1:18:51 PM
Broker 2        Banking         130             20        9/2/2022 1:18:51 PM
Broker 3        Banking         130             20        9/2/2022 1:18:51 PM
Broker 4        Banking         130             20        9/2/2022 1:18:51 PM
Broker 2        Commodity       707             20        9/2/2022 1:18:51 PM
Broker 4        Commodity       707             20        9/2/2022 1:18:51 PM
Broker 1        Technology      221             21        9/2/2022 1:18:52 PM
Broker 2        Technology      221             21        9/2/2022 1:18:52 PM
Broker 3        Technology      221             21        9/2/2022 1:18:52 PM
Broker 4        Technology      221             21        9/2/2022 1:18:52 PM
Broker 1        Retail          51              21        9/2/2022 1:18:52 PM
Broker 4        Retail          51              21        9/2/2022 1:18:52 PM
Broker 2        Banking         131             21        9/2/2022 1:18:52 PM
Broker 3        Banking         131             21        9/2/2022 1:18:52 PM
Broker 4        Banking         131             21        9/2/2022 1:18:52 PM
Broker 2        Commodity       726             21        9/2/2022 1:18:52 PM
Broker 4        Commodity       726             21        9/2/2022 1:18:52 PM
Broker 1        Technology      224             22        9/2/2022 1:18:52 PM
Broker 2        Technology      224             22        9/2/2022 1:18:52 PM
Broker 3        Technology      224             22        9/2/2022 1:18:52 PM
Broker 4        Technology      224             22        9/2/2022 1:18:52 PM
Broker 1        Retail          52              22        9/2/2022 1:18:52 PM
Broker 4        Retail          52              22        9/2/2022 1:18:52 PM
Broker 2        Banking         134             22        9/2/2022 1:18:52 PM
Broker 3        Banking         134             22        9/2/2022 1:18:52 PM
Broker 4        Banking         134             22        9/2/2022 1:18:52 PM
Broker 2        Commodity       734             22        9/2/2022 1:18:52 PM
Broker 4        Commodity       734             22        9/2/2022 1:18:52 PM
Broker 1        Retail          53              23        9/2/2022 1:18:53 PM
Broker 4        Retail          53              23        9/2/2022 1:18:53 PM
Broker 1        Technology      227             23        9/2/2022 1:18:53 PM
Broker 2        Technology      227             23        9/2/2022 1:18:53 PM
Broker 3        Technology      227             23        9/2/2022 1:18:53 PM
Broker 4        Technology      227             23        9/2/2022 1:18:53 PM
Broker 2        Banking         136             23        9/2/2022 1:18:53 PM
Broker 3        Banking         136             23        9/2/2022 1:18:53 PM
Broker 4        Banking         136             23        9/2/2022 1:18:53 PM
Broker 2        Commodity       736             23        9/2/2022 1:18:53 PM
Broker 4        Commodity       736             23        9/2/2022 1:18:53 PM
Broker 1        Retail          54              24        9/2/2022 1:18:53 PM
Broker 4        Retail          54              24        9/2/2022 1:18:53 PM
Broker 2        Banking         139             24        9/2/2022 1:18:53 PM
Broker 3        Banking         139             24        9/2/2022 1:18:53 PM
Broker 4        Banking         139             24        9/2/2022 1:18:53 PM
Broker 1        Technology      231             24        9/2/2022 1:18:53 PM
Broker 2        Technology      231             24        9/2/2022 1:18:53 PM
Broker 3        Technology      231             24        9/2/2022 1:18:53 PM
Broker 4        Technology      231             24        9/2/2022 1:18:53 PM
Broker 2        Commodity       742             24        9/2/2022 1:18:53 PM
Broker 4        Commodity       742             24        9/2/2022 1:18:53 PM
Broker 1        Retail          55              25        9/2/2022 1:18:54 PM
Broker 4        Retail          55              25        9/2/2022 1:18:54 PM
Broker 2        Banking         141             25        9/2/2022 1:18:54 PM
Broker 3        Banking         141             25        9/2/2022 1:18:54 PM
Broker 4        Banking         141             25        9/2/2022 1:18:54 PM
Broker 1        Technology      233             25        9/2/2022 1:18:54 PM
Broker 2        Technology      233             25        9/2/2022 1:18:54 PM
Broker 3        Technology      233             25        9/2/2022 1:18:54 PM
Broker 4        Technology      233             25        9/2/2022 1:18:54 PM
Broker 2        Commodity       752             25        9/2/2022 1:18:54 PM
Broker 4        Commodity       752             25        9/2/2022 1:18:54 PM
